City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,lae,-6.7221,146.9847,23.63,91,76,2.11,PG,1698507604
253,nemuro,43.3236,145.575,11.61,75,33,1.99,JP,1698507605
254,pisco,-13.7,-76.2167,22.23,83,75,3.6,PE,1698507605
255,sittwe,20.15,92.9,25.79,79,7,3.24,MM,1698507606
256,sandnessjoen,66.0217,12.6316,-1.71,80,78,2.77,NO,1698507606
257,broken hill,-31.95,141.4333,19.03,15,4,3.48,AU,1698507381
258,vorgashor,67.5833,63.95,-12.78,97,100,1.79,RU,1698507607
259,praia da vitoria,38.7333,-27.0667,19.86,63,40,9.68,PT,1698507608
260,al khums,32.6486,14.2619,24.71,67,10,4.81,LY,1698507609
261,suva,-18.1416,178.4415,23.71,94,75,1.03,FJ,1698507609
262,okha,53.5739,142.9478,0.53,93,94,3.86,RU,1698507610
263,khandyga,62.6667,135.6,-15.43,94,84,1.6,RU,1698507610
264,sheridan,44.8333,-106.9173,-4.83,83,100,0.0,US,1698507611
265,embarcacion,-23.209,-64.096,33.45,54,63,1.69,AR,1698507611
266,famagusta,35.125,33.95,26.78,86,0,0.57,CY,1698507612
267,tadine,-21.55,167.8833,22.2,89,3,3.69,NC,1698507612
268,ndele,8.4109,20.6473,26.05,71,68,1.68,CF,1698507613
269,wad medani,14.4012,33.5199,30.53,47,69,6.57,SD,1698507613
270,shanhecun,44.7,127.2,3.11,44,30,2.24,CN,1698507614
271,taloda,21.5667,74.2167,26.03,32,43,2.08,IN,1698507614
272,imbituba,-28.24,-48.6703,22.7,99,100,1.95,BR,1698507546
273,illizi,26.4833,8.4667,35.89,12,0,5.39,DZ,1698507615
274,capao bonito,-24.0058,-48.3494,25.44,82,100,4.04,BR,1698507527
275,palopo,-2.9996,120.1921,24.3,58,60,2.1,ID,1698507616
276,tabou,4.423,-7.3528,27.71,74,22,3.54,CI,1698507616
277,namibe,-15.1961,12.1522,21.93,74,70,4.49,AO,1698507617
278,boquete,8.7833,-82.4333,21.78,68,53,1.13,PA,1698507617
279,st. john's,47.5649,-52.7093,12.6,98,100,8.23,CA,1698507546
280,krasnoslobodsk,48.7072,44.5714,17.9,94,40,9.0,RU,1698507618
281,tobruk,32.0836,23.9764,23.21,76,3,3.68,LY,1698507619
282,hollidaysburg,40.4273,-78.3889,22.6,81,100,3.09,US,1698507619
283,moengo,5.6167,-54.4,37.61,34,42,2.02,SR,1698507620
284,bull savanna,17.8868,-77.5902,29.52,54,12,2.83,JM,1698507620
285,inirida,3.8653,-67.9239,35.04,48,81,0.2,CO,1698507621
286,codrington,-38.2667,141.9667,4.92,92,94,2.84,AU,1698507621
287,yarmouth,41.7057,-70.2286,23.97,71,0,3.6,US,1698507622
288,howard springs,-12.497,131.047,28.95,76,32,2.38,AU,1698507622
289,bogotol,56.2078,89.5342,-4.65,88,100,5.46,RU,1698507623
290,kruisfontein,-34.0033,24.7314,12.0,73,100,8.35,ZA,1698507623
291,es castell,39.8795,4.2854,22.38,60,20,7.72,ES,1698507624
292,novospasskoye,53.1468,47.7514,3.31,99,100,5.62,RU,1698507624
293,onega,63.9061,38.1404,-3.62,91,100,4.22,RU,1698507625
294,alice springs,-23.7,133.8833,12.75,14,54,0.0,AU,1698507625
295,ponta delgada,37.7333,-25.6667,19.55,77,40,7.72,PT,1698507625
296,zajecar,43.9036,22.2641,20.24,66,65,1.35,RS,1698507626
297,la carlota,10.4233,122.9208,25.52,83,2,2.18,PH,1698507626
298,conde,-7.2597,-34.9075,29.7,58,75,7.72,BR,1698507533
299,talnakh,69.4865,88.3972,-16.55,92,81,0.8,RU,1698507627
300,kingston,17.997,-76.7936,32.91,64,40,2.57,JM,1698507500
301,salahonda,2.1019,-78.7217,23.79,94,100,5.55,CO,1698507628
302,acapulco de juarez,16.8634,-99.8901,28.67,74,100,1.97,MX,1698507629
303,bodaybo,57.8506,114.1933,-3.84,63,100,3.19,RU,1698507629
304,nouadhibou,20.931,-17.0347,25.99,61,0,6.69,MR,1698507629
305,vilyuchinsk,52.9306,158.4028,3.85,74,100,2.15,RU,1698507630
306,magadan,59.5667,150.8,-2.78,76,92,2.94,RU,1698507630
307,port saint john's,-31.6229,29.5448,15.7,90,100,6.69,ZA,1698507631
308,korla,41.7597,86.1469,14.26,32,5,2.99,CN,1698507631
309,jinchang,38.4953,102.1739,10.75,30,8,1.12,CN,1698507631
310,basco,20.4487,121.9702,26.33,79,22,5.64,PH,1698507632
311,severnoye,56.3491,78.3619,-6.12,87,14,1.79,RU,1698507632
312,viedma,-40.8135,-62.9967,24.85,17,100,11.53,AR,1698507633
313,gisborne,-38.6533,178.0042,8.98,69,93,1.33,NZ,1698507633
314,ar rahad,12.7167,30.65,28.25,55,74,4.02,SD,1698507634
315,westport,41.1415,-73.3579,26.36,63,0,2.68,US,1698507634
316,sabang,5.8933,95.3214,27.71,73,94,1.69,ID,1698507635
317,kristiansund,63.1115,7.732,2.03,64,0,0.0,NO,1698507635
318,zhalantun,48.0,122.7167,3.97,45,94,2.62,CN,1698507636
319,toliara,-23.35,43.6667,25.22,73,0,2.88,MG,1698507636
320,san luis,-33.295,-66.3356,26.94,36,38,10.11,AR,1698507636
